,
,■ 欢迎使用匿名科创地面站!!  匿名科创: www.anotc.com  匿名论坛: www.anobbs.com ■,
ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z,Angle_ROL,Angle_PIT,Angle_YAW,
-90,-189,4089,0,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-90,-189,4089,1,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-90,-188,4089,0,1,0,0,4,0,-2.64000010490417,-1.24000000953674,0.180000007152557,
-90,-188,4089,0,1,0,0,4,0,-2.64000010490417,-1.24000000953674,0.180000007152557,
-90,-188,4089,1,0,0,0,4,0,-2.64000010490417,-1.24000000953674,0.180000007152557,
-90,-188,4091,0,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-188,4091,0,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-188,4091,0,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-188,4090,0,0,0,0,2,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-188,4090,1,0,0,0,2,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-188,4090,0,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-188,4090,1,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-188,4091,0,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-187,4091,0,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-187,4091,0,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-187,4091,1,0,0,0,3,0,-2.64000010490417,-1.24000000953674,0.189999997615814,
-89,-187,4090,0,0,0,0,3,0,-2.63000011444092,-1.24000000953674,0.180000007152557,
-89,-187,4089,0,0,0,0,3,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-89,-187,4089,0,0,0,0,3,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-89,-187,4089,1,0,0,0,4,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-89,-187,4088,2,0,0,0,7,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-89,-187,4088,0,0,0,0,6,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-89,-187,4088,0,0,0,0,6,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-91,-187,4087,0,0,0,0,3,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-91,-187,4087,0,1,0,0,3,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-89,-187,4088,1,0,0,0,3,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-89,-187,4088,1,0,0,0,3,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-89,-187,4089,0,0,0,0,4,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-91,-188,4089,1,0,0,0,2,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-91,-188,4089,0,0,0,0,2,0,-2.63000011444092,-1.24000000953674,0.189999997615814,
-91,-188,4089,0,0,0,0,0,0,-2.63000011444092,-1.25,0.189999997615814,
-91,-188,4089,0,0,0,0,0,0,-2.63000011444092,-1.25,0.189999997615814,
-91,-187,4089,0,0,0,0,2,0,-2.63000011444092,-1.25,0.200000002980232,
-91,-187,4088,0,0,0,0,3,0,-2.63000011444092,-1.25,0.200000002980232,
-91,-187,4088,0,0,-1,0,3,0,-2.63000011444092,-1.25,0.200000002980232,
-90,-187,4089,1,0,0,0,5,0,-2.63000011444092,-1.25,0.200000002980232,
-90,-187,4089,1,0,0,0,5,0,-2.63000011444092,-1.25,0.200000002980232,
-90,-187,4090,0,0,0,0,5,0,-2.63000011444092,-1.25,0.200000002980232,
-90,-187,4089,0,0,0,0,5,0,-2.63000011444092,-1.25,0.200000002980232,
-90,-187,4089,0,0,0,0,5,0,-2.63000011444092,-1.25,0.200000002980232,
-89,-188,4087,0,0,0,0,8,0,-2.63000011444092,-1.25,0.200000002980232,
-89,-187,4088,0,0,0,0,8,0,-2.63000011444092,-1.25,0.200000002980232,
-89,-187,4088,1,0,0,0,8,0,-2.63000011444092,-1.25,0.200000002980232,
-89,-188,4089,0,0,0,0,7,0,-2.63000011444092,-1.25,0.200000002980232,
-89,-188,4089,0,0,0,0,6,0,-2.61999988555908,-1.25,0.200000002980232,
-89,-188,4089,0,0,0,0,6,0,-2.61999988555908,-1.25,0.200000002980232,
-89,-188,4089,0,0,0,0,6,0,-2.63000011444092,-1.25,0.200000002980232,
-90,-189,4089,0,0,0,0,2,0,-2.63000011444092,-1.25,0.200000002980232,
-90,-189,4089,0,0,0,0,2,0,-2.63000011444092,-1.25,0.200000002980232,
-90,-189,4088,0,0,0,0,5,0,-2.63000011444092,-1.24000000953674,0.200000002980232,
-90,-189,4088,0,0,0,0,5,0,-2.63000011444092,-1.24000000953674,0.200000002980232,
-89,-190,4088,0,0,0,0,7,0,-2.63000011444092,-1.24000000953674,0.200000002980232,
-89,-190,4088,0,0,0,0,7,0,-2.63000011444092,-1.24000000953674,0.200000002980232,
-89,-190,4089,0,0,0,0,7,0,-2.63000011444092,-1.24000000953674,0.200000002980232,
-89,-189,4090,0,0,0,0,7,0,-2.63000011444092,-1.24000000953674,0.200000002980232,
-89,-189,4090,0,0,0,0,7,0,-2.63000011444092,-1.24000000953674,0.200000002980232,
-89,-190,4089,0,0,0,0,5,0,-2.64000010490417,-1.24000000953674,0.200000002980232,
-89,-190,4089,0,0,0,0,5,0,-2.64000010490417,-1.24000000953674,0.200000002980232,
-68,-154,4079,-390,373,-18,-3,5,0,-3.02999997138977,-1.62999999523163,0.230000004172325,
-91,-176,4081,-188,187,-2,-3,5,0,-4.09000015258789,-2.66000008583069,0.259999990463257,
-178,-268,4088,405,-394,-7,1,4,0,-3.73000001907349,-2.30999994277954,0.270000010728836,
-178,-268,4088,405,-394,-7,1,4,0,-3.73000001907349,-2.30999994277954,0.270000010728836,
-108,-197,4075,-164,160,4,-3,1,0,-2.63000011444092,-1.26999998092651,0.300000011920929,
-108,-197,4075,-164,160,4,-3,1,0,-2.63000011444092,-1.26999998092651,0.300000011920929,
-113,-204,4081,-78,75,1,-2,2,0,-2.96000003814697,-1.5900000333786,0.300000011920929,
-135,-230,4090,142,-137,3,0,0,0,-2.85999989509583,-1.49000000953674,0.300000011920929,
-135,-230,4090,142,-137,3,0,0,0,-2.85999989509583,-1.49000000953674,0.300000011920929,
-127,-222,4089,25,-22,3,0,0,0,-2.50999999046326,-1.14999997615814,0.300000011920929,
-102,-195,4084,-36,27,-2,-1,0,0,-2.73000001907349,-1.37999999523163,0.300000011920929,
-102,-195,4084,-36,27,-2,-1,0,0,-2.73000001907349,-1.37999999523163,0.300000011920929,
-105,-198,4087,2,-3,1,0,5,0,-2.60999989509583,-1.25999999046326,0.300000011920929,
-105,-198,4087,2,-3,1,0,5,0,-2.60999989509583,-1.25999999046326,0.300000011920929,
-97,-194,4088,31,-25,6,0,5,0,-2.6800000667572,-1.33000004291534,0.300000011920929,
-97,-194,4088,31,-25,6,0,5,0,-2.6800000667572,-1.33000004291534,0.300000011920929,
-96,-196,4088,25,-23,-9,0,5,0,-2.51999998092651,-1.19000005722046,0.280000001192093,
-92,-191,4087,-4,6,7,0,6,0,-2.51999998092651,-1.17999994754791,0.28999999165535,
-96,-187,4096,111,-101,12,1,6,0,-2.40000009536743,-1.08000004291534,0.259999990463257,
-96,-187,4096,111,-101,12,1,6,0,-2.40000009536743,-1.08000004291534,0.259999990463257,
-92,-187,4099,106,-103,-29,2,5,0,-2.21000003814697,-0.889999985694885,0.270000010728836,
-28,-189,4095,59,-43,-103,0,4,0,-2.00999999046326,-0.660000026226044,0.889999985694885,
-28,-189,4095,59,-43,-103,0,4,0,-2.00999999046326,-0.660000026226044,0.889999985694885,
-65,-84,4209,4,-487,105,27,3,0,-1.99000000953674,0.209999993443489,0.980000019073486,
-65,-84,4209,4,-487,105,27,3,0,-1.99000000953674,0.209999993443489,0.980000019073486,
-63,-56,4280,154,-688,187,42,5,0,-1.98000001907349,0.980000019073486,0.850000023841858,
-3,-15,4369,428,-595,339,62,5,0,-1.29999995231628,3.45000004768372,0.00999999977648258,
-3,-15,4369,428,-595,339,62,5,0,-1.29999995231628,3.45000004768372,0.00999999977648258,
65,10,4464,280,-61,220,85,4,0,0.340000003576279,5.21999979019165,-1.62999999523163,
197,18,4744,98,625,55,156,0,0,0.889999985694885,3.24000000953674,-2,
197,18,4744,98,625,55,156,0,0,0.889999985694885,3.24000000953674,-2,
222,25,4849,-18,786,107,182,0,0,0.889999985694885,3.24000000953674,-2,
164,71,4834,-249,843,91,173,3,0,0.810000002384186,-1.83000004291534,-2.73000001907349,
164,71,4834,-249,843,91,173,3,0,0.810000002384186,-1.83000004291534,-2.73000001907349,
135,90,4778,-215,811,87,158,5,0,0.400000005960464,-3.55999994277954,-2.94000005722046,
43,109,4569,52,722,163,104,6,0,-0.0700000002980232,-6.73999977111816,-3.42000007629395,
43,109,4569,52,722,163,104,6,0,-0.0700000002980232,-6.73999977111816,-3.42000007629395,
-37,79,4380,267,752,210,58,13,0,0.649999976158142,-8.47999954223633,-4.07000017166138,
-233,-7,4117,376,446,287,-2,13,0,2.40000009536743,-10.6199998855591,-5,
-233,-7,4117,376,446,287,-2,13,0,2.40000009536743,-10.6199998855591,-5,
-298,-13,4041,277,244,257,-18,14,0,2.40000009536743,-10.6199998855591,-5,
-456,69,3839,-137,-341,162,-57,21,0,3.46000003814697,-10.3299999237061,-6.03000020980835,
-456,69,3839,-137,-341,162,-57,21,0,3.46000003814697,-10.3299999237061,-6.03000020980835,
-531,183,3690,-887,-285,0,-88,26,0,-0.189999997615814,-7.84999990463257,-7.53000020980835,
-531,183,3690,-887,-285,0,-88,26,0,-0.189999997615814,-7.84999990463257,-7.53000020980835,
-524,172,3631,-859,-234,1,-104,27,0,-0.189999997615814,-7.84999990463257,-7.53000020980835,
-424,48,3445,-204,-276,-104,-154,30,0,-4.15999984741211,-6.46999979019165,-7.92999982833862,
-424,48,3445,-204,-276,-104,-154,30,0,-4.15999984741211,-6.46999979019165,-7.92999982833862,
-412,-24,3425,-85,-186,-211,-158,30,0,-4.88000011444092,-5.69000005722046,-7.6399998664856,
-427,-238,3332,-62,283,-112,-175,33,0,-5.51000022888184,-6.46000003814697,-6.75,
-427,-238,3332,-62,283,-112,-175,33,0,-5.51000022888184,-6.46000003814697,-6.75,
-448,-396,3305,190,-490,-149,-179,36,0,-4.34000015258789,-5.05000019073486,-6.07000017166138,
-448,-396,3305,190,-490,-149,-179,36,0,-4.34000015258789,-5.05000019073486,-6.07000017166138,
-451,-426,3324,126,-499,-182,-174,39,0,-4,-3.9300000667572,-5.67999982833862,
-377,-428,3419,78,-454,-76,-155,41,0,-4,-2.08999991416931,-5.05999994277954,
-356,-422,3440,117,-486,-90,-150,42,0,-3.8199999332428,-1.19000005722046,-4.90000009536743,
-323,-412,3468,149,-459,-79,-145,43,0,-3.8199999332428,-1.19000005722046,-4.90000009536743,
-199,-378,3604,207,-428,-76,-116,42,0,-3.34999990463257,0.370000004768372,-4.65000009536743,
-199,-378,3604,207,-428,-76,-116,42,0,-3.34999990463257,0.370000004768372,-4.65000009536743,
-162,-367,3648,139,-320,-15,-106,43,0,-2.83999991416931,1.54999995231628,-4.44000005722046,
-31,-310,3822,277,-371,41,-65,42,0,-2.28999996185303,2.78999996185303,-4.55000019073486,
-31,-310,3822,277,-371,41,-65,42,0,-2.28999996185303,2.78999996185303,-4.55000019073486,
4,-291,3867,262,-299,103,-54,41,0,-2.28999996185303,2.78999996185303,-4.55000019073486,
108,-211,4038,249,-244,132,-14,40,0,-1.04999995231628,4.30999994277954,-5.42000007629395,
108,-211,4038,249,-244,132,-14,40,0,-1.04999995231628,4.30999994277954,-5.42000007629395,
142,-177,4118,216,-106,104,5,41,0,-0.699999988079071,4.57999992370605,-5.71999979019165,
